programming language,tiobe index ratings,job amount,average salary,location,linkedin skill,github user count,wiki view Oct 2024,search count Oct 2024,stack_overflow_count_2024
Gherkin,0.0,3,6075217.678632851,['Jakarta'],1000,0,-1.0,0,0
frame,0.0,4,5278802.215552111,['Jakarta'],0,-1,-1.0,0,0
Tea,0.0,1,31222900.0,['Jakarta'],0,-1,-1.0,0,0
Sqlalchemy,0.0,6,3709826.3210376888,['Jakarta'],226,-1,-1.0,17,0
Erlang,0.16,14,3291520.9981992943,['Jakarta'],101,9,-1.0,18,18
Sage,0.0,5,3193881.4513005977,['Banten'],0,-1,20.0,0,0
Lisp,0.52,1,2550847.4576271186,['Central Java'],104,1,118.0,8,13
Lua,0.56,1,2550847.4576271186,['Central Java'],327,145,42.0,22,46
F#,0.15,1,2550847.4576271186,['Central Java'],0,2,-1.0,0,12
bloom,0.0,3,3112134.04887096,['Central Java'],0,-1,-1.0,0,0
score,0.0,4,2097275.7795171365,"['Bali', 'Jakarta']",0,-1,-1.0,0,0
HL7,0.0,4,3055351.5542120533,['Jakarta'],60,-1,-1.0,0,0
VBA,0.0,9,2669043.566689615,"['West Java', 'Jakarta']",3500,-1,147.0,50,28
ActionScript,0.05,3,3112134.04887096,['Jakarta'],1000,19,109.0,1,0
Elixir,0.16,4,3212282.5826624166,['Jakarta'],233,17,86.0,0,34
MAPPER,0.0,1,3178571.571428572,['Jakarta'],0,-1,-1.0,0,0
Boo,0.0,7,2400483.054421769,['Jakarta'],0,0,-1.0,9,0
Pan,0.0,2,2902285.785714286,['Jakarta'],0,0,-1.0,0,0
l2,0.0,13,5554524.992813157,"['Central Java', 'Jakarta']",0,-1,-1.0,0,0
Augment,0.0,2,1895989.2583732056,['Jakarta'],0,-1,-1.0,0,0
FP,0.0,2,776315.7894736842,['Jakarta'],0,-1,-1.0,0,0
Vale,0.0,2,776315.7894736842,['Jakarta'],0,-1,-1.0,0,0
candor,0.0,1,776315.7894736842,['West Java'],0,-1,-1.0,0,0
Stata,0.05,1,776315.7894736842,['Riau Islands'],831,-1,86.0,27,0
Arc,0.0,1,3015662.727272727,['Jakarta'],0,0,-1.0,0,0
DML,0.0,8,3062648.019556395,"['Yogyakarta', 'Jakarta']",0,-1,-1.0,40,0
IPL,0.0,1,3015662.727272727,['Riau Islands'],0,-1,-1.0,0,0
XL,0.0,4,3732736.052989353,['Jakarta'],0,-1,-1.0,0,0
Star,0.0,3,2975334.568968969,['Jakarta'],0,-1,-1.0,0,0
fox,0.0,2,2840777.777777778,['Yogyakarta'],0,-1,-1.0,0,0
LEAP,0.0,7,2382912.6984126987,['Jakarta'],0,-1,-1.0,0,0
Dockerfile,0.0,1,5592859.090909091,['Jakarta'],88,99,-1.0,26,0
Dc,0.0,1,5592859.090909091,['Jakarta'],0,-1,-1.0,0,0
VBScript,0.33,2,3327448.015974184,['Jakarta'],692,-1,80.0,11,0
CORAL,0.0,1,3244448.151351352,['Jakarta'],0,-1,-1.0,0,0
UniVerse,0.0,1,1520833.3333333333,['Jakarta'],0,-1,-1.0,0,0
C2,0.0,38,1560416.6666666665,"['South Kalimantan', 'Riau', 'West Java', 'Yogyakarta', 'East Java', 'Jakarta', 'Riau Islands', 'South Sulawesi', 'Central Java', 'Banten', 'North Sumatra', 'South Sumatra']",0,-1,-1.0,0,0
