languagehaveworkedwith,languagewanttoworkwith,databasehaveworkedwith,databasewanttoworkwith,webframehaveworkedwith,webframewanttoworkwith
Bash/Shell (all shells);R;TypeScript,Bash/Shell (all shells);Rust;TypeScript,Cloud Firestore;MongoDB;Redis,Cloud Firestore;Elasticsearch;MongoDB;PostgreSQL;Redis,Angular;Express;NestJS;Node.js,Angular;Express;NestJS;Node.js
Crystal;Go;Rust,Crystal;Elixir;Rust,MariaDB;MongoDB;MySQL;SQLite,MongoDB;Redis;Supabase,,
Bash/Shell (all shells);C;C++;Kotlin;Python,C++;Kotlin;Rust,SQLite,,,
HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net),C#;HTML/CSS;JavaScript;SQL;TypeScript,MariaDB;MySQL,Cassandra;InfluxDB;MariaDB;MySQL;PostgreSQL;Redis;Supabase,Express;Next.js;Node.js;React;Svelte,Angular;ASP.NET;ASP.NET CORE;Blazor;Deno;Express;Lit;NestJS;Next.js;Node.js;Nuxt.js;Qwik;React;Solid.js;Svelte;Vue.js;WordPress
Bash/Shell (all shells);C;C++;Dart;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL;Swift;TypeScript,Bash/Shell (all shells);C;C#;C++;Dart;GDScript;Go;Haskell;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;Ruby;Rust;SQL;Swift;TypeScript;Zig,Couch DB;Dynamodb;Firebase Realtime Database;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Couch DB;Firebase Realtime Database;Microsoft SQL Server;MySQL;PostgreSQL;SQLite;Supabase,Next.js;Node.js;React;Remix;Vue.js;WordPress,Deno;Next.js;Node.js;React;Remix;Svelte;WordPress
Dart;HTML/CSS;JavaScript;PHP;SQL,Go;Kotlin;Python;Swift;TypeScript,Cloud Firestore;MariaDB;MySQL,MongoDB,Laravel;React,Express;Next.js;Node.js
Bash/Shell (all shells);C#;C++;Java;Objective-C;PowerShell;Python,,Cassandra;Cloud Firestore;Cosmos DB;Couch DB;Couchbase;RavenDB;SQLite,,Angular;ASP.NET CORE;Deno;Laravel;NestJS;React;Spring Boot,
HTML/CSS;JavaScript;Python;R;Ruby,C#;C++;HTML/CSS;JavaScript;Python;Rust,Cloud Firestore,MongoDB;PostgreSQL;Supabase,jQuery;Node.js;Svelte,Laravel;Node.js;Svelte;WordPress
Python,Python,MySQL;SQLite,PostgreSQL;SQLite,WordPress,Django;React
Dart;Go;Rust,Dart;Rust,Firebase Realtime Database;MongoDB;PostgreSQL;SQLite;Supabase,MongoDB;PostgreSQL,FastAPI,
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;Visual Basic (.Net),Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;Visual Basic (.Net),MongoDB;MySQL;PostgreSQL,MongoDB;MySQL;PostgreSQL,jQuery;Node.js;React;WordPress,Node.js;React;WordPress
