programming language,job amount,average salary,location,manager,full stack,front end,back end,software developer/engineer,mobile developer,devops,game developer,QA engineer,data scientist,data analyst,machine learning engineer,AI engineer,programmer,other analyst,other developer,other engineer,others
Assembly,6,9375530.66194122,"['Riau Islands', 'Central Java', 'East Java']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2
PowerShell,21,5552177.658067975,"['Central Java', 'Jakarta']",0,0,0,0,2,0,5,0,0,0,0,0,0,0,4,1,3,6
Visual FoxPro,5,4916170.059592846,"['East Java', 'Jakarta']",0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
FoxPRO,6,4637549.741552597,"['East Java', 'Jakarta']",0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1
Delphi,5,5088090.1441868255,"['East Java', 'Jakarta']",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0
SCM,2,9190476.19047619,['Jakarta'],0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Red,14,9600474.90325898,"['Riau Islands', 'Yogyakarta', 'West Java', 'Jakarta']",1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,3,2,3
MetaL,3,6789724.960127592,['Jakarta'],0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
SaltStack,1,14000000.0,['Jakarta'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bamboo,13,4155178.345026291,['Jakarta'],0,4,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Mercury,3,12842905.131782943,['Jakarta'],0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITY,12,6091128.553806561,"['Bali', 'East Java', 'Banten', 'Jakarta']",0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0
Arduino,2,3889331.25,['Jakarta'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
SAS,15,3107142.7691049664,"['Yogyakarta', 'Central Java', 'Banten', 'Jakarta']",1,0,0,0,0,0,0,0,0,6,4,0,0,0,1,0,1,2
SPSS,22,2049910.28708134,"['Riau Islands', 'Central Java', 'Banten', 'Jakarta']",0,0,0,0,0,0,0,0,0,6,7,0,0,0,1,0,1,7
SIGNAL,4,2974287.2807017546,['Central Java'],0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Spatial,15,3137366.9030568367,['Jakarta'],0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,4,1
